City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,chonchi,-42.6128,-73.8092,12.56,48,53,1.64,CL,1699551403
202,kingston,17.997,-76.7936,33.53,62,20,6.69,JM,1699550938
203,bel ombre,-4.6167,55.4167,27.91,78,20,1.54,SC,1699551183
204,touros,-5.1989,-35.4608,29.02,58,0,7.93,BR,1699551276
205,magadan,59.5667,150.8,-18.36,80,5,3.11,RU,1699551439
206,helena valley southeast,46.6153,-111.9216,6.78,65,0,3.58,US,1699551585
207,talakan,50.3167,130.3667,-14.11,99,75,1.38,RU,1699551586
208,kharp,66.8014,65.8081,-5.2,98,98,1.6,RU,1699551586
209,al jubayl,27.0112,49.6583,25.99,57,0,2.13,SA,1699551586
210,kone,-21.0595,164.8658,18.68,75,61,1.86,NC,1699551391
211,yoloten,37.2989,62.3597,13.55,34,89,6.44,TM,1699551587
212,kenora,49.8167,-94.4337,0.54,93,100,3.6,CA,1699551371
213,puerto baquerizo moreno,-0.9,-89.6,25.55,89,75,6.69,EC,1699551162
214,kavieng,-2.5744,150.7967,27.96,79,100,5.08,PG,1699551567
215,saint-joseph,-21.3667,55.6167,24.21,80,67,2.37,RE,1699551553
216,maydolong,11.4992,125.5011,27.42,82,54,2.85,PH,1699551589
217,elze,52.1226,9.736,10.55,86,100,5.83,DE,1699551589
218,tanjung pandan,-2.75,107.65,25.78,81,77,0.85,ID,1699551591
219,ripley,53.0333,-1.4,7.45,88,81,1.79,GB,1699551592
220,abepura,-2.6333,140.5833,26.45,74,20,3.09,ID,1699551228
221,vizinga,61.0749,50.1031,-1.57,94,46,1.39,RU,1699551593
222,stanley,54.868,-1.6985,6.55,88,0,1.03,GB,1699551194
223,dailekh,28.8333,81.6667,13.85,69,0,2.42,NP,1699551594
224,kapa'a,22.0752,-159.319,26.18,80,75,9.26,US,1699551185
225,gusau,12.1628,6.6614,28.94,18,91,2.27,NG,1699551594
226,aydarken,39.9443,71.3429,-1.97,84,94,2.54,KG,1699551595
227,brits,-25.6347,27.7802,26.27,34,35,2.94,ZA,1699551595
228,peace river,56.2501,-117.286,-2.83,93,100,1.03,CA,1699551169
229,nemuro,43.3236,145.575,12.58,86,85,12.13,JP,1699551162
230,adrar,20.5022,-10.0711,25.89,20,0,3.79,MR,1699551596
231,east london,-33.0153,27.9116,17.52,88,40,1.54,ZA,1699551013
232,vuktyl,63.8567,57.3094,2.28,99,100,4.47,RU,1699551597
233,fedorovskiy,45.0972,40.9517,9.42,83,95,5.44,RU,1699551598
234,mogocha,53.7333,119.7667,-13.73,69,24,2.31,RU,1699551420
235,anori,-3.7728,-61.6442,39.95,25,58,2.46,BR,1699551576
236,amungan,15.3652,119.9582,26.65,75,100,2.15,PH,1699551599
237,korhogo,9.45,-5.6333,25.66,72,100,1.33,CI,1699551599
238,baijiantan,45.6333,85.1833,4.95,48,58,0.52,CN,1699551600
239,forde,61.4522,5.8572,6.0,69,0,2.06,NO,1699551600
240,ambodifotatra,-16.9833,49.85,26.23,83,9,5.8,MG,1699551601
241,coxen hole,16.3244,-86.5366,28.6,79,20,1.54,HN,1699551601
242,smidovich,48.6,133.8167,-6.24,92,100,2.91,RU,1699551602
243,timiryazevskoye,56.49,84.8769,-6.62,73,7,2.51,RU,1699551603
244,daru,-9.0763,143.2092,25.09,76,97,4.54,PG,1699551604
245,yigo village,13.5361,144.8886,27.16,86,40,6.17,GU,1699551438
246,alice springs,-23.7,133.8833,18.75,48,74,4.12,AU,1699551068
247,sertanopolis,-23.0586,-51.0364,34.04,27,100,2.26,BR,1699551605
248,la mira,18.035,-102.3266,29.91,68,62,1.8,MX,1699551606
249,hinatuan,8.3722,126.3342,25.33,89,100,0.83,PH,1699551606
250,kill devil hills,36.0307,-75.676,24.01,57,0,5.66,US,1699551607
251,whitehorse,60.7161,-135.0538,3.43,81,40,7.2,CA,1699551101
252,santa ana,33.7456,-117.8678,25.13,17,0,7.72,US,1699551331
253,lumphat,13.4878,106.9816,23.29,95,13,1.39,KH,1699551608
254,yurty,56.0498,97.6348,-11.1,84,4,3.51,RU,1699551609
255,arraial do cabo,-22.9661,-42.0278,33.98,37,0,7.2,BR,1699551292
256,el granada,37.5027,-122.4694,16.78,69,40,0.89,US,1699551610
257,hithadhoo,-0.6,73.0833,27.18,81,81,3.05,MV,1699551162
258,bembereke,10.2283,2.6634,29.64,32,27,0.46,BJ,1699551611
259,prince george,53.9166,-122.753,1.46,93,100,2.57,CA,1699551176
260,rio grande,-32.035,-52.0986,28.06,56,9,4.31,BR,1699551248
261,yuzhno-kurilsk,44.0306,145.8556,12.43,88,96,10.82,RU,1699551253
262,antofagasta,-23.65,-70.4,22.6,67,33,3.88,CL,1699551506
263,mirpur sakro,24.5474,67.6277,26.27,69,0,3.48,PK,1699551613
264,bubaque,11.2833,-15.8333,28.6,52,100,2.66,GW,1699551614
265,north bend,43.4065,-124.2243,8.93,93,100,4.12,US,1699551206
266,yambio,4.5721,28.3955,23.27,85,74,1.43,SS,1699551616
267,ta`u,-14.2336,-169.5144,27.39,81,100,5.0,AS,1699551362
268,fortuna,40.5982,-124.1573,9.25,98,0,3.6,US,1699551169
269,radovis,41.6383,22.4647,9.62,55,0,2.3,MK,1699551617
270,ketchikan,55.3422,-131.6461,7.99,93,100,3.6,US,1699551621
271,mananjary,-21.2167,48.3333,24.02,87,90,5.02,MG,1699551623
272,queenstown,-31.8976,26.8753,16.11,67,1,3.16,ZA,1699551419
273,tazovsky,67.4667,78.7,-3.39,86,100,8.76,RU,1699551254
274,saint croix,17.7397,-64.7388,30.25,79,20,5.14,VI,1699551624
275,mount isa,-20.7333,139.5,21.87,88,76,3.09,AU,1699551346
276,baiyin,36.5583,104.2081,3.59,46,86,1.94,CN,1699551625
277,nova sintra,14.8667,-24.7167,22.66,67,99,6.62,CV,1699551214
278,nahiyat ash shinafiyah,31.5874,44.6602,24.63,29,0,0.94,IQ,1699551626
279,kourou,5.1552,-52.6478,32.03,58,12,3.99,GF,1699551366
280,kerikeri,-35.2268,173.9474,11.39,88,100,1.51,NZ,1699551315
281,st. john's,47.5649,-52.7093,6.66,98,100,7.72,CA,1699551392
282,cinisi,38.1562,13.1073,18.25,65,0,2.06,IT,1699551628
283,sao mateus,-18.7161,-39.8589,29.05,49,0,4.99,BR,1699551629
284,capo d'orlando,38.1435,14.7305,16.9,63,82,2.35,IT,1699551629
285,geraldton,-28.7667,114.6,19.23,68,100,9.77,AU,1699551630
286,howrah,22.5892,88.3103,23.0,83,17,0.0,IN,1699551448
287,shagonar,51.5333,92.8,-11.39,90,96,1.83,RU,1699551630
288,sretensk,52.2453,117.7093,-14.32,94,58,1.17,RU,1699551631
289,mbekenyera,-10.0,38.9833,23.55,84,51,3.59,TZ,1699551632
290,mundybash,53.211,87.2983,-4.5,97,97,1.39,RU,1699551632
291,yefremov,53.1481,38.0992,5.38,88,84,6.05,RU,1699551633
292,danilov,58.1908,40.1717,2.73,95,80,1.78,RU,1699551633
293,bafra,41.5678,35.9069,14.5,84,100,4.72,TR,1699551634
294,darlowo,54.421,16.4107,9.36,73,100,7.66,PL,1699551635
295,katabu,-4.9333,122.5167,22.65,92,8,1.0,ID,1699551636
296,uturoa,-16.7333,-151.4333,26.41,80,15,6.33,PF,1699551313
297,palikir - national government center,6.9248,158.1611,26.41,89,100,2.06,FM,1699551377
298,banda aceh,5.5577,95.3222,26.47,80,100,3.64,ID,1699551443
299,balsas,-7.5325,-46.0356,36.99,26,22,2.03,BR,1699551639
300,sisimiut,66.9395,-53.6735,-2.84,82,100,6.03,GL,1699551181
301,ha'il,27.5219,41.6907,23.01,33,0,3.09,SA,1699551640
302,kruisfontein,-34.0033,24.7314,14.05,74,0,1.99,ZA,1699551223
303,hanceville,34.0607,-86.7675,23.98,56,73,2.45,US,1699551351
304,praia da vitoria,38.7333,-27.0667,21.14,88,40,8.59,PT,1699551271
305,nema,57.5067,50.5011,4.41,96,100,2.56,RU,1699551317
306,la'ie,21.6477,-157.9253,26.45,76,31,3.58,US,1699551618
307,bukama,-9.2,25.85,21.09,96,98,3.76,CD,1699551643
308,nadi,-17.8,177.4167,24.0,88,75,1.54,FJ,1699551643
309,hotan,37.0997,79.9269,8.24,20,92,0.86,CN,1699551630
310,ingeniero jacobacci,-41.3427,-69.5448,21.08,20,0,6.72,AR,1699551644
311,kidal,18.4411,1.4078,30.23,10,48,2.16,ML,1699551645
312,bandarban,22.1965,92.2262,24.84,90,1,0.97,BD,1699551646
313,severo-yeniseyskiy,60.3725,93.0408,-15.79,96,12,1.34,RU,1699551646
314,rapla,59.0072,24.7928,6.71,96,97,2.1,EE,1699551647
315,ebon,4.582,168.6964,27.96,80,99,3.82,MH,1699551647
316,pingliang,35.5392,106.6861,3.51,63,18,2.14,CN,1699551648
317,coari,-4.085,-63.1414,32.46,52,49,0.78,BR,1699551648
318,aioun,16.6614,-9.6149,30.3,13,84,3.66,MR,1699551649
319,pacific grove,36.6177,-121.9166,18.14,55,0,2.24,US,1699551528
320,tual,-5.6667,132.75,27.17,78,81,2.6,ID,1699551331
321,port saint john's,-31.6229,29.5448,18.75,81,58,0.35,ZA,1699551224
322,nashik,19.9833,73.8,25.13,59,95,1.14,IN,1699551650
323,pandan,14.0453,124.1694,26.97,85,14,4.68,PH,1699551651
324,bodaybo,57.8506,114.1933,-22.44,100,96,0.24,RU,1699551346
325,dedza,-14.3779,34.3332,18.05,79,97,1.5,MW,1699551652
326,walvis bay,-22.9575,14.5053,17.53,72,0,3.09,NA,1699551652
327,victorica,-36.2151,-65.4359,28.4,17,43,8.86,AR,1699551652
328,mugia,43.1041,-9.2179,13.28,75,100,8.03,ES,1699551432
